RecordID,ClusterID
1,3
2,6
3,8
4,7
5,10
6,6
7,1
8,8
9,5
10,3
11,9
12,2
13,2
14,4
15,9
16,6
17,7
18,1
19,9
20,7
21,10
22,5
23,3
24,2
25,4
26,8
27,5
28,4
29,7
30,10
31,10
32,1
33,3
34,9
35,4
36,1
37,2
38,6
39,5
40,8
